iter	Passed	Remaining
0	2	2662
1	5	2635
2	7	2561
3	10	2575
4	12	2514
5	15	2511
6	17	2485
7	19	2459
8	22	2445
9	24	2420
10	26	2414
11	29	2387
12	31	2386
13	33	2379
14	36	2375
15	38	2385
16	41	2387
17	43	2368
18	45	2350
19	47	2335
20	49	2327
21	52	2325
22	54	2332
23	58	2373
24	61	2400
25	64	2406
26	66	2403
27	69	2418
28	71	2404
29	73	2392
30	76	2382
31	78	2375
32	80	2368
33	82	2357
34	85	2348
35	87	2345
36	89	2339
37	92	2332
38	94	2327
39	96	2318
40	98	2310
41	101	2307
42	103	2300
43	105	2298
44	108	2294
45	110	2287
46	112	2279
47	114	2271
48	116	2270
49	119	2269
50	121	2266
51	123	2260
52	126	2254
53	128	2255
54	131	2264
55	135	2290
56	139	2305
57	141	2299
58	143	2292
59	145	2286
60	148	2284
61	150	2280
62	152	2274
63	155	2271
64	157	2267
65	159	2262
66	162	2256
67	164	2258
68	167	2254
69	169	2250
70	171	2247
71	174	2244
72	176	2239
73	178	2236
74	180	2231
75	183	2228
76	185	2226
77	188	2222
78	190	2220
79	192	2217
80	195	2212
81	197	2213
82	200	2213
83	202	2209
84	205	2210
85	207	2209
86	210	2204
87	212	2200
88	214	2197
89	217	2194
90	219	2193
91	222	2191
92	224	2188
93	227	2188
94	229	2186
95	231	2182
96	233	2178
97	236	2173
98	238	2168
99	240	2165
100	242	2162
101	245	2159
102	247	2154
103	249	2150
104	251	2146
105	253	2141
106	256	2137
107	258	2132
108	260	2127
109	262	2126
110	265	2124
111	269	2137
112	272	2139
113	275	2138
114	277	2134
115	279	2130
116	281	2125
117	283	2122
118	286	2118
119	288	2113
120	290	2108
121	292	2104
122	294	2102
123	297	2100
124	299	2096
125	301	2092
126	303	2088
127	305	2084
128	307	2079
129	310	2075
130	312	2072
131	314	2068
132	316	2063
133	318	2059
134	320	2055
135	323	2052
136	325	2051
137	328	2048
138	330	2046
139	332	2041
140	334	2037
141	336	2033
142	338	2030
143	340	2026
144	343	2024
145	345	2020
146	347	2016
147	349	2012
148	351	2008
149	353	2004
150	356	2002
151	358	2000
152	360	1997
153	363	1995
154	365	1991
155	367	1988
156	369	1984
157	371	1980
158	373	1976
159	375	1973
160	377	1969
161	380	1967
162	382	1963
163	384	1959
164	386	1956
165	388	1952
166	390	1949
167	392	1946
168	395	1942
169	397	1939
170	399	1935
171	401	1933
172	404	1933
173	407	1933
174	410	1933
175	412	1930
176	414	1926
177	416	1923
178	418	1919
179	420	1916
180	423	1914
181	425	1911
182	427	1909
183	429	1905
184	431	1903
185	434	1899
186	436	1896
187	438	1892
188	440	1889
189	442	1887
190	444	1883
191	446	1880
192	448	1877
193	451	1873
194	453	1871
195	455	1868
196	457	1866
197	460	1864
198	462	1860
199	464	1857
200	466	1854
201	468	1851
202	470	1848
203	472	1845
204	474	1841
205	477	1839
206	479	1836
207	481	1833
208	483	1830
209	486	1828
210	488	1826
211	490	1823
212	492	1820
213	494	1817
214	497	1814
215	499	1811
216	501	1808
217	503	1805
218	505	1803
219	507	1800
220	509	1797
221	512	1794
222	514	1791
223	516	1789
224	518	1787
225	521	1784
226	523	1781
227	525	1779
228	527	1776
229	529	1773
230	531	1770
231	533	1767
232	536	1764
233	539	1765
234	542	1764
235	545	1764
236	547	1762
237	549	1760
238	552	1757
239	554	1756
240	556	1754
241	559	1751
242	561	1748
243	563	1744
244	565	1741
245	568	1741
246	570	1739
247	573	1737
248	575	1735
249	577	1733
250	579	1730
251	582	1728
252	584	1726
253	587	1724
254	589	1721
255	591	1719
256	593	1716
257	596	1714
258	598	1711
259	600	1708
260	602	1705
261	604	1702
262	606	1699
263	608	1696
264	611	1694
265	613	1692
266	615	1690
267	618	1687
268	620	1685
269	622	1682
270	624	1679
271	626	1677
272	628	1674
273	631	1671
274	633	1669
275	635	1666
276	637	1664
277	639	1661
278	641	1658
279	643	1655
280	646	1653
281	648	1651
282	651	1649
283	653	1647
284	655	1644
285	657	1641
286	659	1638
287	661	1636
288	663	1633
289	665	1630
